Gene	logFC_BH	PValue_BH	logFC_BC	PValue_BC	logFC_HC	PValue_HC	logFC_LB	PValue_LB	FDR_BH	FDR_BC	FDR_HC	FDR_LB
FBgn0033638	-0.03	0.67	-0.03	0.66	0.00	0.94	-0.06	0.63	0.82	0.87	0.97	0.94
FBgn0031170	-0.12	0.09	-0.12	0.14	0.00	0.99	-0.25	0.07	0.27	0.49	1.00	0.41
FBgn0023458	-0.11	0.16	0.10	0.26	0.22	0.01	-0.01	0.96	0.38	0.62	0.03	0.99
FBgn0053017	0.06	0.43	-0.14	0.10	-0.20	0.01	-0.08	0.56	0.66	0.43	0.04	0.92
FBgn0030098	0.38	0.00	0.06	0.68	-0.32	0.02	0.45	0.08	0.04	0.88	0.06	0.43
FBgn0003638	-0.02	0.66	0.05	0.39	0.07	0.15	0.03	0.77	0.82	0.72	0.30	0.97
FBgn0034394	0.40	0.00	0.37	0.00	-0.03	0.71	0.77	0.00	0.00	0.01	0.83	0.00
FBgn0053138	0.05	0.63	-0.25	0.04	-0.30	0.00	-0.20	0.32	0.80	0.29	0.03	0.79
FBgn0039797	0.11	0.08	-0.19	0.01	-0.31	0.00	-0.08	0.54	0.26	0.16	0.00	0.91
FBgn0051343	-0.07	0.62	-0.05	0.74	0.02	0.91	-0.12	0.65	0.80	0.90	0.95	0.94
FBgn0041775	-0.09	0.06	-0.02	0.76	0.07	0.12	-0.11	0.24	0.21	0.91	0.26	0.72
FBgn0011227	-0.35	0.00	-0.27	0.00	0.08	0.22	-0.63	0.00	0.00	0.01	0.38	0.00
FBgn0001281	0.15	0.05	-0.19	0.04	-0.34	0.00	-0.04	0.79	0.21	0.28	0.00	0.97
FBgn0261794	-0.25	0.00	-0.17	0.02	0.08	0.18	-0.42	0.00	0.00	0.19	0.34	0.01
FBgn0052549	0.12	0.05	0.12	0.09	0.00	0.96	0.24	0.04	0.20	0.40	0.98	0.31
FBgn0263097	-0.16	0.06	0.04	0.67	0.20	0.02	-0.11	0.47	0.22	0.87	0.06	0.88
FBgn0038200	0.01	0.82	-0.20	0.01	-0.21	0.00	-0.18	0.12	0.91	0.11	0.01	0.54
FBgn0039553	0.17	0.01	-0.18	0.02	-0.36	0.00	-0.01	0.93	0.07	0.20	0.00	0.99
FBgn0001124	0.17	0.01	-0.06	0.45	-0.23	0.00	0.11	0.38	0.07	0.76	0.01	0.84
FBgn0003475	0.03	0.57	-0.04	0.45	-0.07	0.15	-0.02	0.87	0.76	0.75	0.29	0.99
FBgn0045842	0.08	0.14	-0.18	0.00	-0.25	0.00	-0.10	0.33	0.35	0.09	0.00	0.81
FBgn0028848	0.09	0.22	-0.08	0.31	-0.17	0.02	0.00	0.97	0.45	0.66	0.06	1.00
FBgn0026869	-0.09	0.35	-0.02	0.85	0.07	0.48	-0.12	0.54	0.59	0.94	0.64	0.92
FBgn0037464	0.00	0.95	-0.07	0.40	-0.07	0.30	-0.06	0.63	0.98	0.72	0.47	0.94
FBgn0034816	0.09	0.22	-0.20	0.01	-0.29	0.00	-0.11	0.40	0.46	0.18	0.00	0.85
FBgn0033889	-0.14	0.05	-0.22	0.01	-0.08	0.23	-0.36	0.01	0.19	0.11	0.39	0.09
FBgn0035196	0.15	0.02	-0.21	0.00	-0.37	0.00	-0.06	0.60	0.11	0.09	0.00	0.93
FBgn0260003	0.02	0.80	0.19	0.01	0.17	0.01	0.21	0.10	0.90	0.16	0.03	0.48
FBgn0259978	0.07	0.24	-0.10	0.17	-0.17	0.01	-0.02	0.83	0.48	0.54	0.03	0.98
FBgn0028331	-0.10	0.09	0.07	0.30	0.17	0.00	-0.03	0.79	0.28	0.66	0.02	0.97
FBgn0036232	0.31	0.00	0.19	0.02	-0.12	0.10	0.50	0.00	0.00	0.23	0.23	0.01
FBgn0023170	0.11	0.10	0.06	0.44	-0.05	0.45	0.17	0.18	0.29	0.75	0.62	0.64
FBgn0033733	-0.17	0.25	-0.23	0.19	-0.06	0.72	-0.40	0.16	0.49	0.55	0.83	0.62
FBgn0040653	0.11	0.40	0.42	0.01	0.31	0.02	0.54	0.04	0.63	0.12	0.08	0.31
FBgn0030718	-0.19	0.00	-0.17	0.02	0.02	0.70	-0.35	0.00	0.03	0.22	0.82	0.05
FBgn0263397	-0.11	0.14	-0.01	0.95	0.10	0.17	-0.11	0.42	0.36	0.98	0.32	0.86
FBgn0264255	-0.25	0.12	0.04	0.81	0.29	0.07	-0.20	0.51	0.32	0.93	0.17	0.90
FBgn0040493	0.09	0.10	-0.10	0.11	-0.20	0.00	-0.01	0.92	0.29	0.45	0.01	0.99
FBgn0033194	0.04	0.69	0.05	0.69	0.01	0.96	0.09	0.66	0.84	0.88	0.97	0.94
FBgn0264560	-0.09	0.10	-0.05	0.43	0.04	0.46	-0.14	0.18	0.28	0.74	0.62	0.63
FBgn0038878	0.13	0.16	-0.14	0.19	-0.28	0.00	-0.01	0.96	0.39	0.55	0.02	0.99
FBgn0028579	-0.04	0.45	-0.12	0.06	-0.08	0.16	-0.17	0.13	0.67	0.35	0.32	0.55
FBgn0023477	0.29	0.03	0.15	0.34	-0.14	0.29	0.44	0.09	0.15	0.68	0.46	0.47
FBgn0023076	0.09	0.14	-0.09	0.23	-0.18	0.00	0.01	0.96	0.35	0.60	0.02	0.99
FBgn0015790	0.07	0.20	0.05	0.41	-0.02	0.74	0.11	0.24	0.43	0.73	0.84	0.72
FBgn0036974	-0.07	0.12	-0.03	0.58	0.04	0.37	-0.10	0.25	0.33	0.82	0.54	0.73
FBgn0038450	0.50	0.00	-0.61	0.00	-1.11	0.00	-0.12	0.68	0.01	0.02	0.00	0.95
FBgn0037329	0.02	0.67	-0.11	0.06	-0.13	0.01	-0.09	0.36	0.82	0.34	0.04	0.82
FBgn0033902	0.04	0.50	0.05	0.47	0.01	0.88	0.09	0.43	0.71	0.77	0.93	0.86
FBgn0052626	-0.02	0.72	-0.06	0.38	-0.04	0.51	-0.08	0.47	0.86	0.71	0.67	0.88
FBgn0259794	0.12	0.06	-0.14	0.06	-0.26	0.00	-0.02	0.86	0.22	0.34	0.00	0.98
FBgn0011670	-0.28	0.00	-0.13	0.22	0.14	0.13	-0.41	0.02	0.03	0.58	0.26	0.20
FBgn0030245	0.07	0.25	0.12	0.08	0.05	0.37	0.19	0.10	0.49	0.38	0.55	0.48
FBgn0052548	0.08	0.29	-0.06	0.49	-0.13	0.06	0.02	0.89	0.53	0.78	0.16	0.99
FBgn0035424	-0.11	0.19	0.00	0.99	0.11	0.19	-0.11	0.50	0.42	1.00	0.34	0.89
FBgn0038938	0.07	0.30	-0.15	0.04	-0.22	0.00	-0.09	0.48	0.54	0.28	0.01	0.89
FBgn0037040	0.09	0.24	-0.15	0.07	-0.24	0.00	-0.06	0.65	0.47	0.37	0.01	0.94
FBgn0015218	0.03	0.44	-0.01	0.82	-0.05	0.30	0.02	0.79	0.67	0.93	0.48	0.97
FBgn0039697	0.00	0.97	-0.01	0.91	-0.01	0.93	-0.01	0.93	0.99	0.97	0.96	0.99
FBgn0021979	-0.02	0.70	0.01	0.86	0.03	0.55	-0.01	0.92	0.84	0.94	0.70	0.99
FBgn0000541	-0.01	0.95	0.05	0.58	0.06	0.49	0.05	0.76	0.98	0.83	0.65	0.96
FBgn0033872	-0.27	0.00	-0.22	0.01	0.05	0.46	-0.50	0.00	0.00	0.10	0.63	0.00
FBgn0052451	0.04	0.43	0.07	0.26	0.03	0.60	0.12	0.28	0.66	0.62	0.74	0.75
FBgn0036687	0.09	0.17	-0.20	0.01	-0.29	0.00	-0.11	0.40	0.39	0.15	0.00	0.85
FBgn0035347	0.01	0.77	-0.02	0.69	-0.04	0.45	-0.01	0.93	0.89	0.88	0.62	0.99
FBgn0033853	0.23	0.00	0.17	0.03	-0.06	0.33	0.40	0.00	0.01	0.23	0.51	0.03
FBgn0038535	-0.03	0.59	0.05	0.46	0.08	0.16	0.02	0.87	0.77	0.76	0.31	0.98
FBgn0035232	0.00	0.97	0.04	0.41	0.05	0.32	0.04	0.64	0.99	0.73	0.50	0.94
FBgn0250819	-0.24	0.00	-0.19	0.02	0.06	0.38	-0.43	0.00	0.01	0.21	0.56	0.02
FBgn0040297	-0.11	0.12	0.04	0.60	0.15	0.03	-0.07	0.62	0.32	0.84	0.10	0.94
FBgn0041188	-0.05	0.40	0.02	0.81	0.07	0.27	-0.03	0.77	0.63	0.93	0.44	0.96
FBgn0052000	0.03	0.61	0.04	0.60	0.01	0.93	0.07	0.56	0.79	0.84	0.96	0.92
FBgn0051704	-0.05	0.49	-0.03	0.68	0.02	0.82	-0.08	0.54	0.70	0.88	0.90	0.92
FBgn0035781	-0.19	0.20	-0.24	0.16	-0.05	0.73	-0.42	0.13	0.43	0.52	0.84	0.55
FBgn0020414	0.07	0.34	0.11	0.15	0.05	0.49	0.18	0.18	0.58	0.51	0.65	0.63
FBgn0004373	0.08	0.19	0.02	0.80	-0.06	0.30	0.10	0.40	0.42	0.92	0.48	0.85
FBgn0039312	-0.28	0.00	-0.26	0.00	0.02	0.80	-0.54	0.00	0.00	0.06	0.88	0.00
FBgn0025117	-0.01	0.80	-0.08	0.14	-0.07	0.15	-0.10	0.31	0.90	0.50	0.30	0.78
FBgn0038740	-0.33	0.00	-0.32	0.01	0.01	0.91	-0.65	0.00	0.03	0.18	0.95	0.04
FBgn0039071	0.07	0.30	-0.08	0.26	-0.15	0.02	-0.02	0.89	0.54	0.62	0.07	0.99
FBgn0262743	-0.04	0.52	0.04	0.55	0.09	0.18	0.00	0.98	0.72	0.81	0.34	1.00
FBgn0010350	0.09	0.07	-0.06	0.30	-0.15	0.00	0.03	0.74	0.23	0.65	0.02	0.96
FBgn0030478	0.12	0.08	0.15	0.06	0.03	0.68	0.27	0.04	0.26	0.35	0.80	0.31
FBgn0033226	-0.09	0.08	0.00	0.97	0.09	0.07	-0.09	0.37	0.26	0.99	0.18	0.84
FBgn0039756	0.19	0.06	-0.03	0.78	-0.22	0.03	0.16	0.40	0.21	0.92	0.09	0.85
FBgn0261885	-0.16	0.06	0.09	0.32	0.25	0.00	-0.06	0.69	0.21	0.67	0.01	0.95
FBgn0036311	0.10	0.11	-0.11	0.12	-0.22	0.00	-0.01	0.92	0.31	0.47	0.01	0.99
FBgn0032646	0.03	0.58	-0.09	0.18	-0.12	0.04	-0.06	0.60	0.77	0.54	0.11	0.93
FBgn0001217	0.04	0.50	-0.18	0.02	-0.22	0.00	-0.13	0.29	0.71	0.21	0.01	0.77
FBgn0052687	0.23	0.00	0.30	0.00	0.07	0.38	0.54	0.00	0.03	0.03	0.55	0.01
FBgn0030160	0.13	0.13	0.17	0.09	0.04	0.66	0.31	0.07	0.33	0.40	0.79	0.40
FBgn0038143	0.00	0.93	0.07	0.22	0.08	0.13	0.07	0.49	0.97	0.58	0.27	0.89
FBgn0052647	0.18	0.06	0.14	0.19	-0.04	0.68	0.32	0.08	0.21	0.55	0.80	0.42
FBgn0029157	0.03	0.53	0.01	0.81	-0.02	0.73	0.05	0.64	0.73	0.93	0.84	0.94
FBgn0032276	0.09	0.17	-0.16	0.03	-0.24	0.00	-0.07	0.56	0.39	0.25	0.00	0.92
FBgn0000083	0.07	0.19	0.09	0.14	0.02	0.70	0.15	0.12	0.42	0.50	0.82	0.53
FBgn0015010	0.30	0.00	0.33	0.00	0.03	0.72	0.64	0.00	0.01	0.03	0.83	0.00
FBgn0047135	-0.05	0.45	0.09	0.24	0.14	0.03	0.04	0.75	0.67	0.60	0.10	0.96
FBgn0034792	0.02	0.69	-0.10	0.08	-0.12	0.02	-0.08	0.39	0.84	0.38	0.06	0.85
FBgn0011280	0.03	0.67	0.03	0.73	0.00	0.98	0.07	0.67	0.82	0.90	0.99	0.95
FBgn0036996	-0.22	0.13	-0.19	0.27	0.03	0.83	-0.40	0.15	0.35	0.63	0.90	0.59
FBgn0035173	-0.06	0.30	-0.02	0.81	0.04	0.46	-0.08	0.49	0.54	0.93	0.63	0.89
FBgn0032797	-0.09	0.10	0.00	1.00	0.09	0.10	-0.09	0.39	0.29	1.00	0.22	0.85
FBgn0026059	-0.20	0.00	-0.04	0.56	0.15	0.01	-0.24	0.05	0.02	0.82	0.06	0.33
FBgn0043530	0.41	0.00	-0.03	0.83	-0.44	0.00	0.39	0.06	0.00	0.93	0.00	0.36
FBgn0020496	-0.05	0.39	0.05	0.43	0.10	0.07	0.00	0.98	0.62	0.75	0.18	1.00
FBgn0023172	-0.04	0.61	0.09	0.29	0.12	0.08	0.05	0.71	0.79	0.65	0.20	0.96
FBgn0261261	0.03	0.64	0.08	0.30	0.05	0.46	0.11	0.38	0.80	0.65	0.63	0.84
FBgn0086911	-0.03	0.79	0.03	0.76	0.06	0.53	0.01	0.97	0.90	0.91	0.69	0.99
FBgn0027505	0.19	0.01	-0.05	0.54	-0.24	0.00	0.14	0.29	0.05	0.81	0.01	0.76
FBgn0263199	0.35	0.01	0.09	0.53	-0.26	0.05	0.44	0.08	0.06	0.80	0.14	0.42
FBgn0020306	0.10	0.18	0.06	0.46	-0.03	0.63	0.16	0.26	0.41	0.76	0.77	0.73
FBgn0031814	-0.07	0.20	-0.05	0.42	0.02	0.72	-0.13	0.25	0.43	0.74	0.83	0.72
FBgn0027066	0.03	0.51	-0.14	0.02	-0.18	0.00	-0.11	0.28	0.72	0.21	0.01	0.76
FBgn0031990	0.04	0.53	0.10	0.15	0.06	0.30	0.14	0.23	0.73	0.51	0.48	0.71
FBgn0040777	0.09	0.07	0.04	0.44	-0.05	0.36	0.14	0.16	0.24	0.75	0.53	0.61
FBgn0259174	0.05	0.29	0.08	0.14	0.03	0.52	0.14	0.15	0.53	0.50	0.68	0.60
FBgn0069354	0.04	0.57	-0.17	0.03	-0.21	0.00	-0.13	0.32	0.76	0.27	0.02	0.80
FBgn0030975	0.00	0.98	-0.11	0.15	-0.11	0.10	-0.11	0.39	0.99	0.51	0.22	0.85
FBgn0036992	1.05	0.00	1.27	0.00	0.22	0.41	2.33	0.00	0.00	0.00	0.58	0.00
FBgn0040382	-0.03	0.61	0.10	0.11	0.13	0.02	0.07	0.48	0.79	0.44	0.06	0.89
FBgn0086690	-0.08	0.22	-0.11	0.14	-0.03	0.63	-0.19	0.12	0.45	0.49	0.76	0.54
FBgn0262617	-0.15	0.01	-0.10	0.13	0.05	0.35	-0.24	0.02	0.05	0.47	0.53	0.19
FBgn0027608	-0.27	0.00	-0.09	0.09	0.17	0.00	-0.36	0.00	0.00	0.41	0.00	0.00
FBgn0023540	-0.10	0.11	-0.07	0.32	0.03	0.66	-0.17	0.15	0.31	0.67	0.79	0.60
FBgn0039970	0.03	0.63	0.07	0.28	0.04	0.45	0.10	0.37	0.80	0.64	0.62	0.84
FBgn0036180	0.04	0.45	-0.05	0.41	-0.09	0.09	-0.01	0.92	0.67	0.73	0.21	0.99
FBgn0039140	0.06	0.32	-0.10	0.12	-0.16	0.01	-0.05	0.67	0.56	0.46	0.03	0.95
FBgn0052654	-0.10	0.18	0.12	0.15	0.22	0.00	0.02	0.88	0.41	0.51	0.02	0.99
FBgn0086357	0.15	0.05	0.13	0.15	-0.02	0.75	0.27	0.06	0.20	0.51	0.85	0.37
FBgn0026189	0.07	0.16	-0.10	0.10	-0.17	0.00	-0.03	0.80	0.39	0.43	0.01	0.97
FBgn0020304	-0.14	0.01	0.04	0.44	0.18	0.00	-0.09	0.33	0.05	0.75	0.00	0.80
FBgn0023529	-0.19	0.01	0.05	0.54	0.24	0.00	-0.14	0.28	0.05	0.81	0.01	0.75
FBgn0025741	0.02	0.84	0.06	0.53	0.04	0.60	0.08	0.63	0.92	0.80	0.74	0.94
FBgn0027579	0.42	0.00	0.15	0.16	-0.28	0.00	0.57	0.00	0.00	0.52	0.02	0.02
FBgn0038488	-0.03	0.53	-0.16	0.01	-0.12	0.03	-0.19	0.07	0.73	0.17	0.09	0.40
FBgn0032471	0.15	0.03	-0.04	0.67	-0.19	0.01	0.12	0.39	0.15	0.87	0.04	0.85
FBgn0051820	-0.05	0.68	-0.06	0.70	0.00	0.97	-0.11	0.65	0.83	0.88	0.98	0.94
FBgn0250840	0.01	0.92	-0.11	0.14	-0.12	0.07	-0.10	0.40	0.96	0.50	0.18	0.85
FBgn0010909	0.05	0.44	0.10	0.16	0.05	0.40	0.15	0.22	0.67	0.52	0.57	0.68
FBgn0034245	-0.32	0.00	-0.28	0.00	0.04	0.56	-0.60	0.00	0.00	0.01	0.71	0.00
FBgn0263750	0.04	0.55	-0.13	0.12	-0.17	0.02	-0.08	0.53	0.75	0.46	0.07	0.91
FBgn0028371	-0.13	0.04	-0.03	0.65	0.10	0.13	-0.17	0.18	0.17	0.86	0.27	0.64
FBgn0085201	-0.43	0.00	-0.44	0.00	-0.01	0.88	-0.88	0.00	0.00	0.00	0.93	0.00
FBgn0037734	-0.05	0.30	-0.08	0.17	-0.03	0.59	-0.13	0.17	0.54	0.54	0.73	0.63
FBgn0041194	-0.28	0.01	-0.25	0.05	0.03	0.79	-0.53	0.01	0.07	0.30	0.88	0.12
FBgn0031359	0.02	0.72	-0.01	0.91	-0.03	0.62	0.01	0.91	0.86	0.96	0.76	0.99
FBgn0261797	0.01	0.92	0.14	0.16	0.13	0.13	0.15	0.38	0.96	0.53	0.27	0.84
FBgn0031134	0.09	0.19	-0.12	0.12	-0.21	0.00	-0.03	0.80	0.43	0.46	0.01	0.97
FBgn0038225	0.12	0.07	-0.19	0.01	-0.30	0.00	-0.07	0.55	0.24	0.15	0.00	0.92
FBgn0030853	-0.24	0.00	-0.19	0.02	0.05	0.47	-0.43	0.00	0.01	0.23	0.64	0.03
FBgn0031724	0.08	0.30	-0.17	0.05	-0.25	0.00	-0.10	0.51	0.54	0.31	0.01	0.90
FBgn0264495	0.03	0.66	0.01	0.88	-0.02	0.79	0.04	0.75	0.82	0.95	0.87	0.96
FBgn0039792	0.16	0.02	-0.16	0.05	-0.32	0.00	0.00	0.98	0.12	0.32	0.00	1.00
FBgn0264975	-0.14	0.04	0.01	0.95	0.15	0.03	-0.14	0.30	0.17	0.98	0.10	0.77
FBgn0021967	-0.25	0.00	-0.29	0.00	-0.04	0.56	-0.53	0.00	0.00	0.01	0.71	0.00
FBgn0034082	0.14	0.08	-0.18	0.05	-0.31	0.00	-0.04	0.81	0.26	0.33	0.00	0.97
FBgn0259111	0.16	0.00	0.17	0.01	0.01	0.83	0.32	0.00	0.04	0.13	0.90	0.04
FBgn0035423	0.02	0.77	-0.01	0.90	-0.02	0.67	0.01	0.94	0.89	0.96	0.79	0.99
FBgn0035982	0.04	0.67	-0.05	0.60	-0.09	0.31	-0.02	0.93	0.83	0.84	0.48	0.99
FBgn0036927	0.16	0.02	0.01	0.94	-0.15	0.02	0.16	0.19	0.09	0.98	0.07	0.65
FBgn0017558	0.08	0.36	0.25	0.01	0.18	0.03	0.33	0.04	0.60	0.14	0.10	0.31
FBgn0262582	0.04	0.67	0.10	0.37	0.06	0.54	0.14	0.44	0.83	0.70	0.69	0.87
FBgn0033095	-0.12	0.05	0.00	0.97	0.12	0.06	-0.12	0.30	0.20	0.99	0.15	0.77
FBgn0051694	0.05	0.37	-0.10	0.11	-0.14	0.01	-0.05	0.63	0.60	0.45	0.03	0.94
FBgn0015754	-0.05	0.32	0.04	0.49	0.09	0.07	-0.01	0.91	0.55	0.78	0.18	0.99
FBgn0035473	0.09	0.10	-0.09	0.15	-0.18	0.00	0.00	0.99	0.30	0.51	0.01	1.00
FBgn0033224	0.06	0.32	0.04	0.55	-0.02	0.75	0.09	0.38	0.56	0.81	0.85	0.84
FBgn0250757	0.10	0.17	-0.06	0.51	-0.16	0.03	0.05	0.75	0.40	0.79	0.10	0.96
FBgn0034087	-0.04	0.37	-0.10	0.08	-0.06	0.26	-0.15	0.13	0.60	0.39	0.43	0.55
FBgn0034897	-0.02	0.78	0.19	0.00	0.20	0.00	0.17	0.11	0.90	0.09	0.00	0.52
FBgn0040502	0.00	0.98	-0.13	0.27	-0.13	0.19	-0.12	0.51	0.99	0.63	0.35	0.90
FBgn0034180	-0.12	0.07	-0.04	0.58	0.08	0.24	-0.17	0.20	0.24	0.83	0.41	0.67
FBgn0036723	0.15	0.03	-0.14	0.07	-0.29	0.00	0.01	0.93	0.13	0.38	0.00	0.99
FBgn0004623	0.00	0.95	-0.02	0.71	-0.02	0.72	-0.03	0.80	0.98	0.89	0.83	0.97
FBgn0000181	-0.03	0.57	0.03	0.65	0.06	0.27	0.00	0.98	0.76	0.86	0.44	1.00
FBgn0050438	0.03	0.70	0.06	0.55	0.03	0.76	0.09	0.58	0.85	0.81	0.86	0.93
FBgn0004401	-0.05	0.25	0.03	0.64	0.08	0.09	-0.03	0.75	0.49	0.86	0.21	0.96
FBgn0261287	0.14	0.05	-0.15	0.09	-0.29	0.00	0.00	0.99	0.20	0.40	0.00	1.00
FBgn0032511	-0.23	0.00	-0.25	0.00	-0.03	0.67	-0.48	0.00	0.00	0.02	0.80	0.00
FBgn0028360	0.00	0.95	-0.08	0.28	-0.08	0.24	-0.08	0.49	0.98	0.63	0.40	0.89
FBgn0011584	-0.01	0.80	0.19	0.00	0.20	0.00	0.17	0.06	0.90	0.03	0.00	0.37
FBgn0015031	-0.21	0.01	-0.15	0.13	0.06	0.48	-0.36	0.03	0.09	0.48	0.64	0.24
FBgn0003218	-0.12	0.05	-0.01	0.88	0.11	0.07	-0.13	0.26	0.19	0.95	0.18	0.74
FBgn0039054	-0.17	0.00	-0.05	0.44	0.12	0.04	-0.22	0.04	0.03	0.75	0.12	0.32
FBgn0051678	-0.05	0.32	-0.12	0.06	-0.06	0.24	-0.17	0.10	0.56	0.34	0.41	0.48
FBgn0264754	-0.32	0.00	0.01	0.93	0.33	0.00	-0.32	0.04	0.00	0.97	0.00	0.30
FBgn0035499	0.11	0.06	-0.09	0.19	-0.20	0.00	0.02	0.86	0.23	0.55	0.01	0.98
FBgn0030038	-0.08	0.29	0.10	0.27	0.18	0.02	0.02	0.92	0.53	0.63	0.07	0.99
FBgn0038681	0.11	0.37	0.33	0.02	0.22	0.06	0.44	0.06	0.60	0.19	0.16	0.37
FBgn0032515	0.07	0.17	-0.05	0.43	-0.12	0.02	0.03	0.81	0.40	0.75	0.08	0.97
FBgn0261477	0.02	0.68	-0.03	0.63	-0.05	0.33	-0.01	0.94	0.83	0.85	0.51	0.99
FBgn0037138	-0.08	0.16	-0.04	0.58	0.04	0.44	-0.11	0.28	0.38	0.83	0.61	0.76
FBgn0025582	0.01	0.90	-0.04	0.48	-0.05	0.35	-0.04	0.72	0.95	0.77	0.52	0.96
FBgn0011270	0.09	0.19	-0.13	0.10	-0.21	0.00	-0.04	0.75	0.42	0.42	0.01	0.96
FBgn0259481	-0.02	0.67	-0.01	0.81	0.01	0.89	-0.03	0.71	0.83	0.93	0.94	0.96
FBgn0003656	0.11	0.03	0.08	0.17	-0.03	0.56	0.19	0.05	0.15	0.54	0.71	0.35
FBgn0036365	0.04	0.52	0.03	0.63	-0.01	0.93	0.07	0.53	0.72	0.85	0.96	0.91
FBgn0030731	0.10	0.10	0.14	0.04	0.04	0.48	0.24	0.04	0.29	0.29	0.64	0.29
FBgn0052264	-0.06	0.37	-0.05	0.50	0.01	0.92	-0.11	0.38	0.61	0.78	0.95	0.84
FBgn0033313	0.01	0.95	0.05	0.60	0.05	0.58	0.06	0.73	0.98	0.84	0.73	0.96
FBgn0001125	0.18	0.17	-0.01	0.92	-0.20	0.13	0.17	0.50	0.39	0.97	0.28	0.90
FBgn0035253	-0.14	0.02	0.13	0.06	0.26	0.00	-0.01	0.92	0.10	0.34	0.00	0.99
FBgn0027785	-0.35	0.00	-0.35	0.00	0.00	0.96	-0.69	0.00	0.00	0.00	0.98	0.00
FBgn0034824	0.09	0.16	-0.08	0.28	-0.17	0.01	0.01	0.94	0.39	0.63	0.04	0.99
FBgn0011361	-0.29	0.00	-0.35	0.00	-0.06	0.41	-0.65	0.00	0.00	0.00	0.58	0.00
FBgn0039300	0.13	0.04	0.10	0.16	-0.03	0.69	0.23	0.06	0.18	0.52	0.81	0.37
FBgn0005410	0.03	0.69	-0.01	0.86	-0.04	0.55	0.01	0.92	0.84	0.94	0.70	0.99
FBgn0015575	0.23	0.00	0.05	0.55	-0.18	0.02	0.28	0.05	0.02	0.81	0.06	0.34
FBgn0027568	0.04	0.49	-0.07	0.27	-0.10	0.05	-0.03	0.75	0.70	0.62	0.14	0.96
FBgn0030880	-0.04	0.53	0.09	0.15	0.13	0.02	0.06	0.59	0.73	0.51	0.07	0.93
FBgn0025814	0.11	0.21	-0.05	0.59	-0.16	0.06	0.05	0.74	0.44	0.83	0.16	0.96
FBgn0030997	-0.07	0.23	0.01	0.94	0.08	0.20	-0.07	0.57	0.47	0.98	0.36	0.92
FBgn0029979	0.11	0.11	-0.05	0.51	-0.16	0.02	0.06	0.66	0.31	0.79	0.07	0.95
FBgn0034723	-0.12	0.02	0.03	0.56	0.15	0.00	-0.08	0.38	0.10	0.82	0.02	0.84
FBgn0053523	-0.06	0.17	-0.08	0.11	-0.02	0.65	-0.15	0.09	0.39	0.45	0.78	0.47
FBgn0020621	0.02	0.71	0.12	0.06	0.10	0.07	0.14	0.19	0.85	0.35	0.18	0.65
FBgn0042696	-0.12	0.20	-0.06	0.61	0.06	0.50	-0.17	0.33	0.44	0.84	0.67	0.80
FBgn0027844	0.01	0.81	0.02	0.76	0.01	0.91	0.03	0.76	0.91	0.91	0.95	0.96
FBgn0011224	-0.16	0.01	-0.10	0.14	0.05	0.36	-0.26	0.02	0.06	0.49	0.54	0.21
FBgn0032474	0.07	0.23	-0.06	0.37	-0.14	0.03	0.01	0.93	0.47	0.71	0.09	0.99
FBgn0086676	0.23	0.00	0.26	0.00	0.03	0.67	0.49	0.00	0.02	0.05	0.80	0.01
FBgn0042693	0.00	0.94	0.03	0.64	0.04	0.55	0.03	0.81	0.97	0.86	0.70	0.97
FBgn0027552	0.31	0.00	0.11	0.25	-0.19	0.03	0.42	0.01	0.01	0.62	0.09	0.14
FBgn0033460	0.02	0.65	0.03	0.61	0.01	0.90	0.05	0.58	0.81	0.85	0.94	0.93
FBgn0038790	0.15	0.46	-0.52	0.03	-0.68	0.00	-0.37	0.34	0.68	0.24	0.01	0.81
FBgn0038652	0.12	0.45	0.07	0.69	-0.05	0.77	0.19	0.53	0.67	0.88	0.86	0.91
FBgn0035933	0.09	0.53	0.16	0.33	0.07	0.63	0.25	0.36	0.73	0.68	0.76	0.83
FBgn0036165	-0.01	0.87	0.05	0.60	0.07	0.44	0.04	0.81	0.94	0.84	0.61	0.97
FBgn0031632	-0.19	0.01	0.04	0.67	0.22	0.00	-0.15	0.26	0.06	0.87	0.01	0.74
FBgn0037007	0.13	0.12	0.18	0.05	0.06	0.49	0.31	0.05	0.32	0.31	0.65	0.32
FBgn0039310	0.02	0.90	0.31	0.08	0.29	0.05	0.33	0.26	0.95	0.38	0.14	0.74
FBgn0259951	-0.14	0.23	-0.21	0.12	-0.07	0.56	-0.35	0.12	0.46	0.47	0.71	0.52
FBgn0053129	0.08	0.09	0.03	0.63	-0.06	0.25	0.11	0.24	0.28	0.86	0.42	0.72
FBgn0052486	-0.19	0.00	0.08	0.13	0.27	0.00	-0.11	0.24	0.00	0.47	0.00	0.71
FBgn0039518	0.11	0.07	-0.16	0.03	-0.27	0.00	-0.05	0.68	0.25	0.23	0.00	0.95
FBgn0052703	0.13	0.09	-0.08	0.36	-0.22	0.01	0.05	0.74	0.28	0.70	0.03	0.96
FBgn0260943	-0.15	0.14	0.02	0.85	0.17	0.09	-0.12	0.51	0.36	0.94	0.21	0.90
FBgn0034467	0.13	0.06	-0.15	0.05	-0.28	0.00	-0.03	0.84	0.23	0.33	0.00	0.98
