Gene	logFC_BH	PValue_BH	logFC_BC	PValue_BC	logFC_HC	PValue_HC	logFC_LB	PValue_LB	FDR_BH	FDR_BC	FDR_HC	FDR_LB
FBgn0038959	-0.31	0.03	0.07	0.64	0.39	0.01	-0.24	0.37	0.13	0.86	0.03	0.83
FBgn0037121	-0.16	0.10	-0.08	0.47	0.08	0.42	-0.24	0.19	0.29	0.76	0.59	0.66
FBgn0035082	0.14	0.14	0.09	0.39	-0.05	0.62	0.23	0.20	0.35	0.72	0.76	0.66
FBgn0028926	-0.01	0.96	-0.13	0.32	-0.12	0.27	-0.13	0.52	0.98	0.67	0.44	0.91
dsim_PG00018	-0.38	0.00	-0.01	0.90	0.37	0.00	-0.40	0.03	0.00	0.96	0.00	0.27
FBgn0030316	-0.05	0.66	0.14	0.24	0.19	0.07	0.10	0.64	0.82	0.61	0.18	0.94
FBgn0017414	-0.05	0.57	-0.06	0.54	-0.01	0.90	-0.11	0.51	0.76	0.81	0.94	0.90
FBgn0050043	-0.09	0.54	0.07	0.69	0.17	0.28	-0.02	0.94	0.74	0.88	0.45	0.99
FBgn0037305	0.02	0.84	0.05	0.69	0.03	0.80	0.07	0.73	0.92	0.88	0.88	0.96
FBgn0026737	-0.06	0.52	0.01	0.93	0.07	0.45	-0.05	0.78	0.73	0.97	0.62	0.97
FBgn0026373	-0.02	0.81	0.04	0.68	0.07	0.46	0.02	0.90	0.91	0.88	0.63	0.99
FBgn0030508	-0.02	0.80	-0.08	0.45	-0.05	0.54	-0.10	0.56	0.90	0.75	0.69	0.92
FBgn0260400	-0.40	0.02	0.05	0.80	0.45	0.01	-0.35	0.29	0.11	0.93	0.04	0.76
FBgn0030104	0.05	0.57	-0.17	0.13	-0.22	0.02	-0.11	0.54	0.76	0.48	0.08	0.91
FBgn0039703	0.12	0.37	0.04	0.80	-0.08	0.54	0.16	0.53	0.60	0.92	0.70	0.91
FBgn0053230	-0.06	0.54	-0.01	0.96	0.06	0.58	-0.07	0.72	0.74	0.99	0.72	0.96
FBgn0003483	-0.07	0.51	-0.16	0.22	-0.08	0.45	-0.23	0.27	0.72	0.58	0.62	0.75
FBgn0032671	-0.02	0.85	-0.19	0.13	-0.16	0.12	-0.21	0.31	0.93	0.48	0.26	0.78
FBgn0259677	-0.10	0.41	0.03	0.82	0.13	0.28	-0.07	0.76	0.64	0.93	0.45	0.96
FBgn0263600	0.00	1.00	-0.22	0.06	-0.22	0.03	-0.22	0.26	1.00	0.35	0.10	0.73
FBgn0039942	0.00	0.98	-0.15	0.10	-0.15	0.06	-0.15	0.32	0.99	0.44	0.16	0.79
FBgn0260644	0.03	0.80	-0.06	0.63	-0.09	0.42	-0.03	0.87	0.90	0.85	0.59	0.98
FBgn0032178	-0.17	0.10	-0.35	0.00	-0.18	0.10	-0.52	0.01	0.29	0.09	0.23	0.12
FBgn0032105	-0.08	0.46	-0.20	0.13	-0.12	0.31	-0.29	0.19	0.68	0.47	0.48	0.65
FBgn0024542	0.00	0.99	-0.20	0.07	-0.20	0.04	-0.20	0.26	0.99	0.36	0.11	0.74
FBgn0051957	-0.05	0.65	0.05	0.66	0.10	0.33	0.00	0.98	0.81	0.87	0.51	1.00
FBgn0033752	0.03	0.70	0.16	0.08	0.13	0.10	0.19	0.22	0.85	0.39	0.23	0.68
FBgn0019985	-0.19	0.16	-0.24	0.12	-0.05	0.70	-0.43	0.09	0.38	0.46	0.82	0.46
FBgn0259226	-0.03	0.80	-0.07	0.62	-0.04	0.76	-0.10	0.67	0.90	0.85	0.86	0.95
FBgn0052174	-0.03	0.75	-0.02	0.86	0.01	0.91	-0.05	0.78	0.88	0.94	0.95	0.97
